iter	Passed	Remaining
0	2	202
1	3	193
2	5	182
3	7	181
4	9	178
5	11	176
6	13	175
7	15	173
8	16	169
9	18	169
10	20	168
11	22	167
12	24	167
13	27	166
14	29	166
15	31	164
16	33	163
17	35	161
18	37	160
19	39	158
20	41	155
21	43	152
22	44	149
23	46	148
24	48	146
25	50	144
26	52	142
27	54	140
28	55	136
29	56	132
30	57	129
31	59	125
32	61	124
33	63	123
34	65	121
35	67	120
36	69	118
37	71	116
38	73	115
39	75	113
40	77	111
41	79	109
42	81	108
43	82	105
44	84	103
45	86	101
46	88	99
47	89	97
48	90	94
49	92	92
50	93	90
51	94	87
52	96	85
53	97	82
54	98	80
55	99	78
56	100	76
57	102	73
58	103	71
59	104	69
60	105	67
61	106	65
62	107	63
63	109	61
64	111	60
65	113	58
66	115	56
67	116	54
68	118	53
69	120	51
70	122	49
71	124	48
72	126	46
73	128	45
74	130	43
75	132	41
76	133	40
77	135	38
78	137	36
79	139	34
80	141	33
81	143	31
82	144	29
83	146	27
84	147	26
85	149	24
86	151	22
87	152	20
88	154	19
89	155	17
90	157	15
91	159	13
92	161	12
93	162	10
94	163	8
95	165	6
96	166	5
97	168	3
98	169	1
99	170	0
