iter	Passed	Remaining
0	124	124301
1	125	62601
2	126	42023
3	127	31745
4	128	25544
5	129	21423
6	130	18506
7	131	16300
8	132	14643
9	133	13255
10	134	12111
11	135	11166
12	136	10352
13	137	9668
14	138	9067
15	138	8542
16	139	8083
17	140	7675
18	142	7333
19	142	7003
20	143	6702
21	144	6427
22	145	6179
23	146	5953
24	147	5739
25	148	5546
26	148	5363
27	149	5197
28	150	5046
29	151	4909
30	152	4776
31	154	4659
32	155	4556
33	157	4477
34	159	4402
35	161	4321
36	163	4251
37	164	4162
38	165	4074
39	166	3994
40	167	3915
41	168	3839
42	169	3772
43	170	3707
44	173	3675
45	175	3633
46	177	3594
47	179	3559
48	181	3520
49	183	3479
50	185	3447
51	187	3425
52	189	3390
53	191	3358
54	193	3332
55	195	3300
56	197	3270
57	199	3241
58	200	3199
59	201	3160
60	202	3121
61	203	3081
62	204	3043
63	205	3006
64	206	2970
65	207	2937
66	208	2903
67	209	2870
68	210	2838
69	211	2807
70	212	2778
71	213	2749
72	214	2720
73	215	2696
74	217	2682
75	218	2658
76	219	2633
77	220	2607
78	221	2582
79	222	2558
80	223	2534
81	224	2509
82	224	2480
83	225	2457
84	226	2433
85	226	2411
86	227	2389
87	228	2368
88	229	2349
89	230	2329
90	231	2309
91	232	2291
92	233	2273
93	234	2255
94	234	2238
95	235	2221
96	236	2205
97	237	2187
98	238	2170
99	239	2154
100	240	2137
101	241	2122
102	242	2107
103	242	2092
104	243	2078
105	244	2062
106	245	2048
107	246	2034
108	247	2020
109	248	2008
110	249	1994
111	250	1982
112	251	1970
113	251	1957
114	252	1946
115	253	1935
116	254	1922
117	255	1911
118	256	1900
119	257	1889
120	258	1879
121	259	1867
122	260	1856
123	261	1846
124	262	1834
125	263	1824
126	263	1814
127	265	1805
128	266	1796
129	267	1786
130	267	1777
131	268	1767
132	269	1757
133	270	1748
134	271	1740
135	272	1732
136	273	1721
137	274	1713
138	275	1704
139	276	1699
140	278	1696
141	279	1690
142	281	1687
143	283	1683
144	284	1679
145	286	1676
146	288	1672
147	289	1668
148	291	1664
149	293	1661
150	294	1658
151	296	1656
152	298	1653
153	300	1649
154	302	1646
155	303	1643
156	305	1639
157	307	1636
158	308	1633
159	310	1631
160	312	1626
161	313	1623
162	315	1619
163	316	1615
164	318	1612
165	320	1609
166	321	1603
167	322	1597
168	323	1591
169	324	1586
170	325	1580
171	326	1574
172	327	1567
173	328	1561
174	329	1555
175	330	1548
176	331	1543
177	332	1537
178	333	1531
179	334	1525
180	335	1519
181	336	1513
182	337	1507
183	338	1501
184	339	1496
185	340	1490
186	341	1485
187	342	1481
188	344	1478
189	346	1476
190	348	1474
191	349	1472
192	351	1469
193	353	1467
194	354	1464
195	356	1462
196	358	1460
197	359	1457
198	361	1454
199	363	1452
200	364	1449
201	366	1446
202	367	1444
203	369	1441
204	371	1439
205	372	1437
206	374	1434
207	376	1433
208	378	1431
209	379	1428
210	380	1424
211	381	1419
212	382	1414
213	384	1411
214	386	1410
215	387	1407
216	389	1405
217	391	1402
218	392	1400
219	394	1398
220	396	1396
221	397	1393
222	398	1389
223	399	1385
224	401	1381
225	402	1378
226	404	1376
227	405	1374
228	407	1373
229	409	1372
230	411	1370
231	413	1369
232	415	1368
233	416	1364
234	418	1363
235	420	1362
236	422	1360
237	424	1359
238	426	1357
239	428	1355
240	430	1354
241	432	1353
242	433	1351
243	435	1350
244	437	1348
245	439	1347
246	441	1346
